OfftakeName,Month,Year,Week,transaction_date,transaction_sum,transaction_avg
Water Ordering - 50123,1,2021,1,1/01/2021,,
Water Ordering - 32340,6,2021,24,6/06/2021,,
Water Ordering - 32287,6,2021,24,6/07/2021,543.8803864,135.9700966
Water Ordering - 32288,6,2021,24,6/07/2021,122.1706467,61.08532333
Water Ordering - 32340,6,2021,24,6/07/2021,,
Water Ordering - 32286,6,2021,24,6/08/2021,114.1743393,57.08716965
Water Ordering - 32287,6,2021,24,6/08/2021,136.5063629,136.5063629
Water Ordering - 32288,6,2021,24,6/08/2021,61.08532333,61.08532333
Water Ordering - 32340,6,2021,24,6/08/2021,331870.8626,66374.17252
Water Ordering - 32286,6,2021,24,6/09/2021,171.2615089,57.08716965
Water Ordering - 32287,6,2021,24,6/09/2021,409.5190887,136.5063629
Water Ordering - 32288,6,2021,24,6/09/2021,183.25597,61.08532333
Water Ordering - 32340,6,2021,24,6/09/2021,295.3001175,98.4333725
Water Ordering - 32286,6,2021,24,6/10/2021,171.2615089,57.08716965
Water Ordering - 32287,6,2021,24,6/10/2021,409.5190887,136.5063629
Water Ordering - 32288,6,2021,24,6/10/2021,183.25597,61.08532333
Water Ordering - 32340,6,2021,24,6/10/2021,295.3001175,98.4333725
Water Ordering - 32286,6,2021,24,6/11/2021,171.2615089,57.08716965
Water Ordering - 32287,6,2021,24,6/11/2021,409.5190887,136.5063629
Water Ordering - 32288,6,2021,24,6/11/2021,183.25597,61.08532333
Water Ordering - 32340,6,2021,24,6/11/2021,295.3001175,98.4333725
Water Ordering - 32286,6,2021,24,6/12/2021,171.2615089,57.08716965
Water Ordering - 32287,6,2021,24,6/12/2021,409.5190887,136.5063629
Water Ordering - 32288,6,2021,24,6/12/2021,183.25597,61.08532333
Water Ordering - 32340,6,2021,24,6/12/2021,295.3001175,98.4333725
Water Ordering - 32286,6,2021,25,6/13/2021,171.2615089,57.08716965
Water Ordering - 32287,6,2021,25,6/13/2021,409.5190887,136.5063629
Water Ordering - 32288,6,2021,25,6/13/2021,183.25597,61.08532333
Water Ordering - 32340,6,2021,25,6/13/2021,295.3001175,98.4333725
Water Ordering - 32286,6,2021,25,6/14/2021,171.2615089,57.08716965
Water Ordering - 32287,6,2021,25,6/14/2021,546.0254517,136.5063629
Water Ordering - 32288,6,2021,25,6/14/2021,183.25597,61.08532333
Water Ordering - 32340,6,2021,25,6/14/2021,295.3001175,98.4333725
Water Ordering - 32286,6,2021,25,6/15/2021,228.3486786,57.08716965
Water Ordering - 32287,6,2021,25,6/15/2021,273.0127258,136.5063629
Water Ordering - 32288,6,2021,25,6/15/2021,244.3412933,61.08532333
Water Ordering - 32340,6,2021,25,6/15/2021,393.73349,98.4333725
Water Ordering - 32286,6,2021,25,6/16/2021,171.2615089,57.08716965
Water Ordering - 32287,6,2021,25,6/16/2021,409.5190887,136.5063629
Water Ordering - 32288,6,2021,25,6/16/2021,183.25597,61.08532333
Water Ordering - 32340,6,2021,25,6/16/2021,295.3001175,98.4333725
Water Ordering - 32286,6,2021,25,6/17/2021,171.2615089,57.08716965
Water Ordering - 32287,6,2021,25,6/17/2021,273.0127258,136.5063629
Water Ordering - 32288,6,2021,25,6/17/2021,183.25597,61.08532333
Water Ordering - 32340,6,2021,25,6/17/2021,295.3001175,98.4333725
Water Ordering - 32286,6,2021,25,6/18/2021,171.2615089,57.08716965
Water Ordering - 32287,6,2021,25,6/18/2021,410.3754425,136.7918142
Water Ordering - 32288,6,2021,25,6/18/2021,183.25597,61.08532333
Water Ordering - 32340,6,2021,25,6/18/2021,295.3001175,98.4333725
Water Ordering - 32286,6,2021,25,6/19/2021,171.2615089,57.08716965
Water Ordering - 32287,6,2021,25,6/19/2021,273.9721069,136.9860535
Water Ordering - 32288,6,2021,25,6/19/2021,183.25597,61.08532333
Water Ordering - 32340,6,2021,25,6/19/2021,295.3001175,98.4333725
Water Ordering - 32286,6,2021,26,6/20/2021,171.2615089,57.08716965
Water Ordering - 32287,6,2021,26,6/20/2021,136.9860535,136.9860535
Water Ordering - 32288,6,2021,26,6/20/2021,183.25597,61.08532333
Water Ordering - 32340,6,2021,26,6/20/2021,295.3001175,98.4333725
Water Ordering - 32286,6,2021,26,6/21/2021,114.1743393,57.08716965
Water Ordering - 32287,6,2021,26,6/21/2021,411.0825195,137.0275065
Water Ordering - 32288,6,2021,26,6/21/2021,122.1706467,61.08532333
Water Ordering - 32340,6,2021,26,6/21/2021,196.866745,98.4333725
Water Ordering - 32286,6,2021,26,6/22/2021,57.08716965,57.08716965
Water Ordering - 32287,6,2021,26,6/22/2021,137.1035767,137.1035767
Water Ordering - 32288,6,2021,26,6/22/2021,61.08532333,61.08532333
Water Ordering - 32340,6,2021,26,6/22/2021,98.4333725,98.4333725
Water Ordering - 32286,6,2021,26,6/23/2021,57.08716965,57.08716965
Water Ordering - 32287,6,2021,26,6/23/2021,550.6274872,137.6568718
Water Ordering - 32288,6,2021,26,6/23/2021,61.08532333,61.08532333
Water Ordering - 32340,6,2021,26,6/23/2021,98.4333725,98.4333725
Water Ordering - 32286,6,2021,26,6/24/2021,57.08716965,57.08716965
Water Ordering - 32287,6,2021,26,6/24/2021,276.3520355,138.1760178
Water Ordering - 32288,6,2021,26,6/24/2021,61.08532333,61.08532333
Water Ordering - 32340,6,2021,26,6/24/2021,98.4333725,98.4333725
Water Ordering - 32286,6,2021,26,6/25/2021,57.08716965,57.08716965
Water Ordering - 32287,6,2021,26,6/25/2021,138.2541351,138.2541351
Water Ordering - 32288,6,2021,26,6/25/2021,61.08532333,61.08532333
Water Ordering - 32340,6,2021,26,6/25/2021,98.4333725,98.4333725
Water Ordering - 32286,6,2021,26,6/26/2021,57.08716965,57.08716965
Water Ordering - 32287,6,2021,26,6/26/2021,138.2541351,138.2541351
Water Ordering - 32288,6,2021,26,6/26/2021,61.08532333,61.08532333
Water Ordering - 32340,6,2021,26,6/26/2021,98.4333725,98.4333725
Water Ordering - 32286,6,2021,27,6/27/2021,57.08716965,57.08716965
Water Ordering - 32287,6,2021,27,6/27/2021,414.7624054,138.2541351
Water Ordering - 32288,6,2021,27,6/27/2021,61.08532333,61.08532333
Water Ordering - 32340,6,2021,27,6/27/2021,98.4333725,98.4333725
Water Ordering - 32286,6,2021,27,6/28/2021,57.08716965,57.08716965
Water Ordering - 32287,6,2021,27,6/28/2021,138.2541351,138.2541351
Water Ordering - 32288,6,2021,27,6/28/2021,61.08532333,61.08532333
Water Ordering - 32340,6,2021,27,6/28/2021,98.4333725,98.4333725
Water Ordering - 32286,6,2021,27,6/29/2021,57.08716965,57.08716965
Water Ordering - 32287,6,2021,27,6/29/2021,138.2541351,138.2541351
Water Ordering - 32288,6,2021,27,6/29/2021,61.08532333,61.08532333
Water Ordering - 32340,6,2021,27,6/29/2021,98.4333725,98.4333725
Water Ordering - 32286,6,2021,27,6/30/2021,57.08716965,57.08716965
Water Ordering - 32287,6,2021,27,6/30/2021,138.2541351,138.2541351
Water Ordering - 32288,6,2021,27,6/30/2021,61.08532333,61.08532333
Water Ordering - 32340,6,2021,27,6/30/2021,98.4333725,98.4333725
Water Ordering - 32286,7,2021,27,7/01/2021,57.08716965,57.08716965
Water Ordering - 32287,7,2021,27,7/01/2021,138.2541351,138.2541351
Water Ordering - 32288,7,2021,27,7/01/2021,61.08532333,61.08532333
Water Ordering - 32340,7,2021,27,7/01/2021,98.4333725,98.4333725
Water Ordering - 32286,7,2021,27,7/02/2021,57.08716965,57.08716965
Water Ordering - 32287,7,2021,27,7/02/2021,276.5082703,138.2541351
Water Ordering - 32288,7,2021,27,7/02/2021,61.08532333,61.08532333
Water Ordering - 32340,7,2021,27,7/02/2021,98.4333725,98.4333725
Water Ordering - 32286,7,2021,27,7/03/2021,57.08716965,57.08716965
Water Ordering - 32287,7,2021,27,7/03/2021,138.2541351,138.2541351
Water Ordering - 32288,7,2021,27,7/03/2021,61.08532333,61.08532333
Water Ordering - 32340,7,2021,27,7/03/2021,98.4333725,98.4333725
Water Ordering - 32286,7,2021,28,7/04/2021,57.08716965,57.08716965
Water Ordering - 32287,7,2021,28,7/04/2021,675.2706757,168.8176689
Water Ordering - 32288,7,2021,28,7/04/2021,61.08532333,61.08532333
Water Ordering - 32340,7,2021,28,7/04/2021,98.4333725,98.4333725
Water Ordering - 32286,7,2021,28,7/05/2021,57.08716965,57.08716965
Water Ordering - 32287,7,2021,28,7/05/2021,138.2541351,138.2541351
Water Ordering - 32288,7,2021,28,7/05/2021,61.08532333,61.08532333
Water Ordering - 32340,7,2021,28,7/05/2021,98.4333725,98.4333725
Water Ordering - 32286,7,2021,28,7/06/2021,57.08716965,57.08716965
Water Ordering - 32287,7,2021,28,7/06/2021,138.2541351,138.2541351
Water Ordering - 32288,7,2021,28,7/06/2021,61.08532333,61.08532333
Water Ordering - 32340,7,2021,28,7/06/2021,98.4333725,98.4333725
Water Ordering - 32286,7,2021,28,7/07/2021,57.08716965,57.08716965
Water Ordering - 32287,7,2021,28,7/07/2021,138.2541351,138.2541351
Water Ordering - 32288,7,2021,28,7/07/2021,61.08532333,61.08532333
Water Ordering - 32340,7,2021,28,7/07/2021,98.4333725,98.4333725
Water Ordering - 32286,7,2021,28,7/08/2021,57.08716965,57.08716965
Water Ordering - 32287,7,2021,28,7/08/2021,138.2541351,138.2541351
Water Ordering - 32288,7,2021,28,7/08/2021,61.08532333,61.08532333
Water Ordering - 32340,7,2021,28,7/08/2021,98.4333725,98.4333725
Water Ordering - 32286,7,2021,28,7/09/2021,57.08716965,57.08716965
Water Ordering - 32287,7,2021,28,7/09/2021,138.2541351,138.2541351
Water Ordering - 32288,7,2021,28,7/09/2021,61.08532333,61.08532333
Water Ordering - 32340,7,2021,28,7/09/2021,98.4333725,98.4333725
Water Ordering - 32286,7,2021,28,7/10/2021,57.08716965,57.08716965
Water Ordering - 32287,7,2021,28,7/10/2021,414.7624054,138.2541351
Water Ordering - 32288,7,2021,28,7/10/2021,61.08532333,61.08532333
Water Ordering - 32340,7,2021,28,7/10/2021,98.4333725,98.4333725
Water Ordering - 32286,7,2021,29,7/11/2021,57.08716965,57.08716965
Water Ordering - 32287,7,2021,29,7/11/2021,138.2541351,138.2541351
Water Ordering - 32288,7,2021,29,7/11/2021,61.08532333,61.08532333
Water Ordering - 32340,7,2021,29,7/11/2021,98.4333725,98.4333725
Water Ordering - 32286,7,2021,29,7/12/2021,171.2615089,57.08716965
