ID,Type,Priority,Operation,Scheme,Water (ML),Date
1056,#N/A,Medium,Barron River & Tinaroo Falls Dam ,Mareeba Dimbulah,0,2017-2018 Q1
1057,#N/A,High,Barron River & Tinaroo Falls Dam ,Mareeba Dimbulah,15,2017-2018 Q1
104491,Irrigation,Medium,South Walsh ,Mareeba Dimbulah,0.198,2017-2018 Q1
104533,Irrigation,#N/A,#N/A,#N/A,1.225,2017-2018 Q1
104535,Irrigation,Medium,East Barron ,Mareeba Dimbulah,0,2017-2018 Q1
104540,Irrigation,Medium,Price Creek relift,Mareeba Dimbulah,37.679,2017-2018 Q1
104542,Irrigation,Medium,South Walsh ,Mareeba Dimbulah,0.02,2017-2018 Q1
104547,Irrigation,Medium,West Barron ,Mareeba Dimbulah,12.79,2017-2018 Q1
104550,Irrigation,Medium,South Walsh ,Mareeba Dimbulah,68.766,2017-2018 Q1
104551,Irrigation,Medium,South Walsh ,Mareeba Dimbulah,0.328,2017-2018 Q1
104552,Irrigation,Medium,South Walsh ,Mareeba Dimbulah,48.777,2017-2018 Q1
104568,Irrigation,#N/A,#N/A,#N/A,4.34,2017-2018 Q1
104572,Irrigation,Medium,Mareeba ,Mareeba Dimbulah,0.597,2017-2018 Q1
104576,Irrigation,Medium,South Walsh ,Mareeba Dimbulah,0,2017-2018 Q1
104579,Irrigation,Medium,South Walsh ,Mareeba Dimbulah,33.577,2017-2018 Q1
104588,Industrial,Medium,Mareeba ,Mareeba Dimbulah,0,2017-2018 Q1
104590,Irrigation,#N/A,#N/A,#N/A,43.27,2017-2018 Q1
104592,Irrigation,Medium,West Barron ,Mareeba Dimbulah,46.309,2017-2018 Q1
104594,Irrigation,Medium,South Walsh ,Mareeba Dimbulah,23.59,2017-2018 Q1
104604,Irrigation,Medium,East Barron ,Mareeba Dimbulah,63.342,2017-2018 Q1
104607,Irrigation,Medium,South Walsh ,Mareeba Dimbulah,16.679,2017-2018 Q1
104614,Irrigation,Medium,South Walsh ,Mareeba Dimbulah,46.123,2017-2018 Q1
104616,Irrigation,Medium,East Barron ,Mareeba Dimbulah,1.714,2017-2018 Q1
104617,Irrigation,#N/A,#N/A,#N/A,40.677,2017-2018 Q1
104620,Irrigation,#N/A,#N/A,#N/A,6.285,2017-2018 Q1
104623,Irrigation,Medium,East Barron ,Mareeba Dimbulah,0.259,2017-2018 Q1
104624,Irrigation,#N/A,#N/A,#N/A,0.636,2017-2018 Q1
104628,Irrigation,Medium,East Barron ,Mareeba Dimbulah,0.396,2017-2018 Q1
104629,Irrigation,#N/A,#N/A,#N/A,0.01,2017-2018 Q1
104630,Irrigation,Medium,East Barron ,Mareeba Dimbulah,0.173,2017-2018 Q1
104632,Irrigation,Medium,Mareeba ,Mareeba Dimbulah,3.08,2017-2018 Q1
104638,Irrigation,Medium,South Walsh ,Mareeba Dimbulah,84.87,2017-2018 Q1
104639,Irrigation,Medium,South Walsh ,Mareeba Dimbulah,37.726,2017-2018 Q1
104644,Irrigation,Medium,West Barron ,Mareeba Dimbulah,0,2017-2018 Q1
104648,Irrigation,Medium,Mareeba ,Mareeba Dimbulah,0,2017-2018 Q1
104649,Irrigation,Medium,South Walsh ,Mareeba Dimbulah,26.403,2017-2018 Q1
104651,Irrigation,Medium,South Walsh ,Mareeba Dimbulah,0,2017-2018 Q1
104655,Irrigation,Medium,East Barron ,Mareeba Dimbulah,9.97,2017-2018 Q1
104656,Irrigation,Medium,Barron River & Tinaroo Falls Dam ,Mareeba Dimbulah,6.296,2017-2018 Q1
104662,Irrigation,#N/A,#N/A,#N/A,33.53,2017-2018 Q1
104663,Irrigation,Medium,East Barron ,Mareeba Dimbulah,0,2017-2018 Q1
104665,Irrigation,Medium,East Barron ,Mareeba Dimbulah,1.228,2017-2018 Q1
104666,Irrigation,Medium,South Walsh ,Mareeba Dimbulah,0,2017-2018 Q1
104667,Irrigation,Medium,East Barron ,Mareeba Dimbulah,0,2017-2018 Q1
104675,Irrigation,Medium,Barron River & Tinaroo Falls Dam ,Mareeba Dimbulah,23.62,2017-2018 Q1
104676,Irrigation,Medium,Paddys Green relift ,Mareeba Dimbulah,47.153,2017-2018 Q1
104677,Irrigation,Medium,South Walsh ,Mareeba Dimbulah,37.56,2017-2018 Q1
104678,Irrigation,Medium,Biboohra,Mareeba Dimbulah,0,2017-2018 Q1
104680,Irrigation,Medium,Mareeba ,Mareeba Dimbulah,0.353,2017-2018 Q1
104683,Irrigation,Medium,Mareeba ,Mareeba Dimbulah,1.23,2017-2018 Q1
