Source,Target,Value
Burnett and Lower Mary,Barker Barambah,239
Burnett and Lower Mary,Boyne River & Tarong,178
Burnett and Lower Mary,Bundaberg,1906
Burnett and Lower Mary,Lower Mary River,203
Burnett and Lower Mary,Three Moon Creek,160
Burnett and Lower Mary,Upper Burnett Supply,225
Central,Callide Valley,220
Central,Dawson Valley,150
Central,Eton,12
Central,Lower Fitzroy,25
Central,Nogoa Mackenzie,277
North,Bowen Broken,112
North,Burdekin Haughton,1115
North,Julius,2
North,Mareeba Dimbulah,1373
North,Pioneer River,19
North,Proserpine,152
South,Chinchilla Weir,36
South,Cunnamulla,11
South,Macintyre Brook,120
South,Non-Scheme,177
South,St George,87
South,Upper Condamine Supply,111
No Region,Eungella Water PL (External),1
No Region,Maranoa River,1
No Region,No Scheme,1175
