Source,Target,Value
Burnett and Lower Mary,Barker Barambah,0.0051
Burnett and Lower Mary,Boyne River & Tarong,0.0023
Burnett and Lower Mary,Bundaberg,0.0865
Burnett and Lower Mary,Lower Mary River,0.0048
Burnett and Lower Mary,Three Moon Creek,0.0056
Burnett and Lower Mary,Upper Burnett Supply,0.016
Central,Callide Valley,0.00758
Central,Dawson Valley,0.02352
Central,Eton,0.00021
Central,Lower Fitzroy,0.00031
Central,Nogoa Mackenzie,0.04069
North,Bowen Broken,0.00369
North,Burdekin Haughton,0.22184
North,Julius,0.00199
North,Mareeba Dimbulah,0.08479
North,Pioneer River,0.01705
North,Proserpine,0.01384
South,Chinchilla Weir,0.00156
South,Cunnamulla,0.00113
South,Macintyre Brook,0.00255
South,Non-Scheme,0.01063
South,St George,0.01491
South,Upper Condamine Supply,0.00491
No Region,Eungella Water PL (External),0.00786
No Region,Maranoa River,0
No Region,No Scheme,0.42077
