A C River,0,0,0,0,0,0,0,0,0,0
Abbotsford System,0.0007,0.0026,0.0137,0.0303,0.049,0.069,0.0984,0.1299,0.1835,0.2682
Barker Bar River,0,0,0,0,0,0,0,0,0,0
Barratta System,0,0,0,0,0,0,0,0,0,0
Blackwater Pipe,0,0,0,0,0,0.0001,0.0002,0.0004,0.0007,0.0011
Bowen River,0,0,0,0,0.0001,0.0547,0.419,1.0001,1.0001,1.0001
Boyne River,0,0,0,0,0,0,0,0,0,0
Burd Moran Pipe,0,0,0,0,0,0,0,0.0003,0.0009,0.0019
Burdekin River,0,0,0,0,0,0,0,0,0,0.0002
Callide Benefit Area,0,0,0,0,0,0,0,0,0,0
Callide Dam Hdworks,1,1,1,1,1,1,1,1,1,1
Chinchilla River,0,0,0,0,0,0,0,0,0,0
Chnl & Supp Dist,0,0,0,0,0,0,0,0,0,0
Clare System,0,0,0,0,0,0,0,0,0,0
Collinsville Pipe,0,0,0,0,0,0.0001,0.0002,0.0003,0.0004,0.0006
Condamine River,0,0,0,0,0,0,0,0,0,0
Cunnmulla River,0,0,0,0,0,0,0.0024,0.0082,0.0441,0.495
Dalbeg System,0,0,0,0,0,0,0,0,0,0
Dawson Hwks,1,1,1,1,1,1,1,1,1,1
Dawson River,0,0,0,0,0,0,0,0,0,0
Dumaresq - DRIP,0,0,0,0,0,0,0,0,0,0
Elliot Sys (L'Hardt),0.0012,0.0029,0.0103,0.0183,0.0287,0.0395,0.0515,0.0637,0.0765,0.0898
Elliot Sys(L'Rdt)Drn,0.3483,1,1,1,1,1,1,1,1,1
Eton Hwks,0,0,0,0,0.1447,1,1,1,1,1
Eton River -M&P,0,0,0.0002,0.2304,0.5952,1,1,1,1,1
Eungella Company,1,1,1,1,1,1,1,1,1,1
Eungella Offtakes,0,0,0,0,0,0.0003,0.0012,0.0028,0.0049,0.0085
Fitzroy River,0,0,0.3296,1,1,1,1,1,1,1
Fred Haigh River,1,1,1,1,1,1,1,1,1,1
Gattonvale,0,1,1,1,1,1,1,1,1,1
Gin Gin Main Channel,0,0,0.0027,0.0111,0.0329,0.1065,1,1,1,1
Gin Gin/Bingerra Sys,0,0,0,0,0,0,0,0,0,0
Giru Benefitted Area,0,0,0,0,0,0,0,0,0,0
Gooburrum System,0,0,0,0,0,0,0,0,0,0
Gregory Offtakes,0,0,0,0,0,0,0,0,0.0034,0.007
Haughton Mc & Pstns,0.0113,0.027,0.056,0.0892,0.1302,0.23,0.3933,0.568,1.0002,1.0002
Haughton System,0,0,0,0.0001,0.0002,0.0004,0.0007,0.001,0.0014,0.0018
Haughton Systm Drain,0.2781,0.573,1,1,1,1,1,1,1,1
Isis System,0,0,0,0,0,0,0,0,0,0
Julius Dam Hwks,0.018,1,1,1,1,1,1,1,1,1
Kolan B & Bucca WR,0,0,0,0,0,0,0,0,0,0
Lower Mary R Barrage,0,0,0,0,0,0,0,0,0,0
Macintyre River,0,0,0,0,0,0,0,0,0,0
Main Roads Channel,0,0,0,0,0.0001,0.0002,0.0003,0.0011,0.002,0.004
Maranoa River,0,0,0,0,0,0,0,0,0,0
Mareeba Distr Pooled,1,1,1,1,1,1,1,1,1,1
Mba River (Brrn),0,0,0,0,0,0,0,0,0,0
Mba Town & Waste,1,1,1,1,1,1,1,1,1,1
Millaroo System,0,0,0,0,0,0,0,0,0,0
Newlands Offtakes,0,0,0.0056,0.0113,0.0178,0.0245,0.0379,0.0522,0.0668,0.0866
Newlands Pipe,1,1,1,1,1,1,1,1,1,1
Nogoa Hwks,0,0,0,0,0,0,0.0001,0.0009,0.0074,0.2326
Nogoa River,0,0,0,0,0,0,0,0,0,0
North Branch,0,0,0,0,0,0,0,0.0065,0.0131,0.0227
Oakey Creek Offtakes,0,0.0047,0.0098,0.0157,0.0258,0.0379,0.0506,0.0641,0.0788,0.0945
Owanyilla Channel,0.236,1,1,1,1,1,1,1,1,1
Pioneer Hwks,0,0.0012,0.0027,0.0048,0.0093,0.0149,0.0238,0.0348,0.0511,0.0722
Proserpine River,0,0,0,0,0,0,0,0,0,0
Relift Ch Dist-Paddy,0,0,0,0,0,0,0,0,0,0
Relift Ch Dist-Price,0,0,0,0,0,0,0,0,0,0
Saraji Pipe Offtakes,0,0,0,0.0001,0.0002,0.0004,0.0006,0.0009,0.0012,0.0015
St George River,0,0,0,0,0,0,0,0,0,0
Stanwell Pipe,0,0.0021,0.0057,0.0119,0.0191,0.0269,0.038,0.0505,0.0641,0.0784
Tarong Pipe,0,0,0,0,0,0,0,0,0,0
Three Mn Ck River,0,0,0,0,0,0,0,0,0,0
Tinana Creek,0,0,0,0,0,0,0,0,0,0
Upper Burnett River,0,0,0,0,0,0,0,0,0,0
Walker Point Channel,0,0,0,0,0,0,0,0,0,0
Woongarra System,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
