Region,Scheme,Profit Centre,Offtake #,Water Delivered,All %,Region %,Scheme %,Profit Centre %
#N/A,#N/A,#N/A,53303,625042.768,13.15%,30.68%,31.25%,31.25%
#N/A,#N/A,#N/A,Plantation Creek Pumpstation 1,219354,4.61%,10.77%,10.97%,10.97%
North,Pioneer River,Pioneer Hwks,MKY DUMBLETON WEIR NO 2,47602.96,1.00%,2.92%,58.74%,58.74%
#N/A,#N/A,#N/A,Rocks Pumpstation 1,136055,2.86%,6.68%,6.80%,6.80%
#N/A,#N/A,#N/A,McDowells Pumpstation 1,126497,2.66%,6.21%,6.32%,6.32%
#N/A,#N/A,#N/A,41037,102191.135,2.15%,5.02%,5.11%,5.11%
#N/A,Eungella Water PL (External),Eungella Company,EWP P/L,37357,0.79%,1.83%,100.00%,100.00%
#N/A,#N/A,#N/A,Warrens Gully Pumpstation,89728,1.89%,4.40%,4.49%,4.49%
North,Burdekin Haughton,Burdekin River,49059,24894.44,0.52%,1.53%,2.36%,21.20%
North,Burdekin Haughton,Burdekin River,Riparian,20314,0.43%,1.25%,1.93%,17.30%
South,Non-scheme,Dumaresq - DRIP,151881,16242.21,0.34%,9.58%,32.15%,34.94%
North,Burdekin Haughton,Burdekin River,58101,15016.001,0.32%,0.92%,1.42%,12.79%
#N/A,#N/A,#N/A,TH001,72869.614,1.53%,3.58%,3.64%,3.64%
Central,Nogoa Mackenzie,Nogoa River,N355,11746.493,0.25%,3.42%,6.07%,7.58%
North,Proserpine River,Proserpine River,2000P,10914.249,0.23%,0.67%,16.59%,16.59%
Burnett and Lower Mary,Bundaberg,Gooburrum System,FYM0001,10279.971,0.22%,1.80%,2.50%,14.73%
Central,Nogoa Mackenzie,Nogoa River,N180,9600.582,0.20%,2.79%,4.96%,6.20%
North,Julius,Julius Dam Hwks,Mt Isa Water Board,9308.533,0.20%,0.57%,98.20%,98.20%
North,Mareeba Dimbulah,Mba River (Brrn),Mareeba WTP,9165.667,0.19%,0.56%,2.27%,39.71%
North,Burdekin Haughton,Burdekin River,58102,8858,0.19%,0.54%,0.84%,7.54%
North,Burdekin Haughton,Burdekin River,58103,8836,0.19%,0.54%,0.84%,7.52%
Central,Nogoa Mackenzie,Blackwater Pipe,curragh1,8618.875,0.18%,2.51%,4.46%,53.00%
North,Mareeba Dimbulah,Chnl & Supp Dist,92,8531.63,0.18%,0.52%,2.12%,2.39%
#N/A,#N/A,#N/A,Rita Island Pumpstation 1,47153,0.99%,2.31%,2.36%,2.36%
Central,Nogoa Mackenzie,Nogoa River,N375,8274.729,0.17%,2.41%,4.28%,5.34%
Central,Nogoa Mackenzie,Nogoa River,N303,8179,0.17%,2.38%,4.23%,5.28%
Burnett and Lower Mary,Bundaberg,A C River,Branyan,8085.09,0.17%,1.42%,1.97%,15.29%
South,St George,St George River,LK34,7695.4,0.16%,4.54%,10.86%,10.86%
Central,Nogoa Mackenzie,Nogoa River,103072/1,7693.182,0.16%,2.24%,3.98%,4.97%
Burnett and Lower Mary,Bundaberg,Kolan B & Bucca WR,58456/1,7545.908,0.16%,1.32%,1.84%,38.90%
Central,Nogoa Mackenzie,Nogoa Hwks,N425,7401.78,0.16%,2.15%,3.83%,52.99%
South,St George,St George River,011P1,7122.199,0.15%,4.20%,10.05%,10.05%
South,St George,St George River,LK31,7041.3,0.15%,4.15%,9.94%,9.94%
South,St George,St George River,LK36,6935.6,0.15%,4.09%,9.79%,9.79%
North,Burdekin Haughton,Haughton System,HL095R1,6904.666,0.15%,0.42%,0.65%,2.49%
Burnett and Lower Mary,Bundaberg,A C River,25998,6749.469,0.14%,1.18%,1.64%,12.76%
North,Pioneer River,Pioneer Hwks,Pioneer 01,6634,0.14%,0.41%,8.19%,8.19%
North,Burdekin Haughton,Haughton Mc & Pstns,HH030R1 COX,6584.889,0.14%,0.40%,0.62%,43.22%
Central,Dawson Valley,Dawson River,UD575,6487.333,0.14%,1.89%,5.80%,6.09%
North,Burdekin Haughton,Giru Benefitted Area,57346,6379.15,0.13%,0.39%,0.60%,5.84%
Central,Nogoa Mackenzie,Nogoa River,N325,6368.1,0.13%,1.85%,3.29%,4.11%
#N/A,#N/A,#N/A,94808,31551.269,0.66%,1.55%,1.58%,1.58%
North,Burdekin Haughton,Giru Benefitted Area,57330,6290.18,0.13%,0.39%,0.60%,5.76%
South,Upper Condamine Supply,Condamine River,WARWICK CITY COUNCIL,6106.72,0.13%,3.60%,26.16%,38.44%
Central,Nogoa Mackenzie,Saraji Pipe Offtakes,1030832,6101.78,0.13%,1.78%,3.15%,78.65%
Central,Nogoa Mackenzie,Nogoa River,1034041,5936.018,0.12%,1.73%,3.07%,3.83%
North,Burdekin Haughton,Burdekin River,54936A,5904.04,0.12%,0.36%,0.56%,5.03%
#N/A,#N/A,#N/A,Down River Pumpstation 1,30569,0.64%,1.50%,1.53%,1.53%
South,Non-scheme,Dumaresq - DRIP,137021-151791,5769.302,0.12%,3.40%,11.42%,12.41%
North,Mareeba Dimbulah,Chnl & Supp Dist,397,5667.3,0.12%,0.35%,1.41%,1.59%
North,Bowen Broken,Collinsville Pipe,SONOMA MINE,5636.202,0.12%,0.35%,32.15%,35.32%
North,Mareeba Dimbulah,Chnl & Supp Dist,R1164,5609.39,0.12%,0.34%,1.39%,1.57%
Central,Dawson Valley,Dawson River,LD170,5606.857,0.12%,1.63%,5.01%,5.26%
Central,Nogoa Mackenzie,Blackwater Pipe,Water Treatment Plant NOG,5606.798,0.12%,1.63%,2.90%,34.48%
Burnett and Lower Mary,Bundaberg,Gooburrum System,FMD0005,5539.696,0.12%,0.97%,1.35%,7.94%
North,Mareeba Dimbulah,Chnl & Supp Dist,394,5528.18,0.12%,0.34%,1.37%,1.55%
Central,Nogoa Mackenzie,Nogoa River,N188,5464.005,0.11%,1.59%,2.82%,3.53%
